nombre,disco,fecha_lanzamiento,duracion,genero
don't leave me this way (with sarah jane morris),the communards,1986-01-01,58.0,pop
hello mary lou,creedence clearwater revival,1972-01-01,55.0,rock
clean,popcaan,2012-01-01,160.0,reggae
shhh,tevin campbell,2001-01-01,132.0,pop
march to the sea,twenty one pilots,2009-01-01,98.0,pop
sign of the cross,iron maiden,1995-01-01,94.0,rock
lorena,john hartford,1984-01-01,118.0,country
apartheid is nazism,alpha blondy,2010-01-01,158.0,reggae
bad bad freddy,young monks,2018-01-01,82.0,reggae
in deh,the itals,1983-01-01,61.0,reggae
thief,ookay,2016-01-01,48.0,pop
you should be grateful,marvin sease,2002-01-01,29.0,blues
two step,dave matthews band,1996-01-01,94.0,pop
who dat girl (feat. akon),flo rida,2010-01-01,167.0,pop
fix me,black flag,1978-01-01,36.0,rock
walk away renee,the left banke,1992-01-01,34.0,pop
anything,wendell b,2003-01-01,103.0,blues
blinded by a lie,ufo,1983-01-01,49.0,blues
falling in love,sam cooke,1960-01-01,27.0,pop
twice removed from yesterday,robin trower,1973-01-01,61.0,blues
feel this moment (feat. christina aguilera),pitbull,2012-01-01,156.0,pop
handy,wishbone ash,1970-01-01,19.0,jazz
for the turnstiles,the be good tanyas,2006-01-01,45.0,country
god is not dead,johnny cash,1969-01-01,35.0,country
everybody's somebody's fool,michael jackson,1972-01-01,32.0,pop
it's over,badfinger,1971-01-01,30.0,pop
forbidden zone,misfits,1999-01-01,97.0,rock
stranger blues,elmore james,1960-01-01,85.0,blues
so, what would i do,joe bonamassa,2014-01-01,57.0,blues
i wish i knew,bill evans trio,1961-01-01,51.0,jazz
those three days,lucinda williams,2003-01-01,112.0,country
sensation,bryan ferry,1985-01-01,33.0,pop
my apocalypse,escape the fate,2006-01-01,103.0,pop
up where we belong,joe cocker,1993-01-01,71.0,blues
i ain't superstitious,santana,2010-01-01,60.0,blues
buzzin',shwayze,2008-01-01,165.0,pop
bun out the chi chi,capleton,2002-01-01,137.0,reggae
built for comfort,ufo,1974-01-01,36.0,blues
call me darling,josh white,1951-01-01,110.0,blues
從不喜歡孤單一個,彭家麗,1991-01-01,56.0,pop
protect me (feat. the wailing souls),new kingston,2015-01-01,183.0,reggae
needles in the camel's eye,brian eno,1973-01-01,21.0,pop
playing to win,little river band,1984-01-01,56.0,pop
road to nowhere,greensky bluegrass,2007-01-01,110.0,rock
leavin' again,savoy brown,1970-01-01,57.0,country
six blocks away,lucinda williams,1992-01-01,88.0,country
invasion,rebelution,2014-01-01,41.0,reggae
hillbilly rock,marty stuart,1989-01-01,130.0,country
someone could lose a heart tonight,eddie rabbitt,1981-01-01,64.0,country
your love never fails,newsboys,2011-01-01,61.0,rock
for whom the bell tolls,bee gees,1993-01-01,106.0,rock
i'm not a loser,descendents,1982-01-01,66.0,pop
when did you stop loving me,george strait,1992-01-01,35.0,country
give that love to me,ray campi,1957-01-01,166.0,rock
live well,palace,2016-01-01,84.0,rock
god damn rock 'n' roll,the cramps,1989-01-01,57.0,blues
wasting all these tears,cassadee pope,2013-01-01,84.0,pop
sixteen ways,green on red,1982-01-01,39.0,country
pretending,the gladiators,1998-01-01,132.0,reggae
i'm movin' on,rascal flatts,2000-01-01,65.0,country
over it,bullet for my valentine,2018-01-01,35.0,rock
good morning,guts,2012-01-01,186.0,jazz
teenage frankenstein,alice cooper,1986-01-01,67.0,blues
hurts so good,astrid s,2016-01-01,102.0,pop
take up thy stethoscope and walk,pink floyd,1967-01-01,52.0,rock
a place only you can go,needtobreathe,2011-01-01,46.0,rock
one heart missing,grace potter & the nocturnals,2012-01-01,45.0,blues
love isn't easy (but it sure is hard enough),abba,1973-01-01,119.0,pop
sanctified,nine inch nails,1989-01-01,96.0,rock
famous last words of a fool,george strait,1988-01-01,48.0,country
stay,astrud gilberto,1966-01-01,56.0,jazz
things & time,wailing souls,1973-01-01,64.0,reggae
trust issues,drake,2019-01-01,172.0,pop
it feels alright,black lips,2007-01-01,45.0,blues
tawo,jordan rakei,2016-01-01,66.0,jazz
the tiki bar is open,john hiatt,2001-01-01,116.0,country
ti amo,laura branigan,1984-01-01,76.0,pop
plain as the pain on my face,eddie rabbitt,1978-01-01,61.0,country
bird song,florence + the machine,2009-01-01,88.0,pop
please come back home,carl smith,1957-01-01,180.0,country
young blood,whitesnake,1982-01-01,103.0,blues
black betty,larkin poe,2017-01-01,156.0,blues
a song for jeffrey,jethro tull,1968-01-01,22.0,blues
sleepwalk,the shadows,1990-01-01,117.0,rock
we can change the world,graham nash,1971-01-01,24.0,country
face to face,mat kearney,2018-01-01,115.0,rock
kill somebody,yungblud,2018-01-01,45.0,rock
the song is ended (but the melody lingers on),nat king cole,1957-01-01,48.0,jazz
lives like mine,stonewall jackson,1962-01-01,39.0,country
more cigarettes,the replacements,1981-01-01,53.0,country
maybelline,the dovells,1963-01-01,150.0,blues
prayin' for daylight,rascal flatts,2000-01-01,137.0,country
the way we were,barbra streisand,1974-01-01,46.0,rock
time after time,cyndi lauper,1983-01-01,39.0,pop
pretty,korn,1998-01-01,67.0,rock
inflation blues,b.b. king,1983-01-01,54.0,blues
brand new lover,dead or alive,1987-01-01,90.0,pop
chance of lovin' you,earl thomas conley,1981-01-01,53.0,country
edge of seventeen,stevie nicks,1981-01-01,66.0,rock
change of the guard,steely dan,1972-01-01,46.0,blues
jump (with trippie redd),julia michaels,2018-01-01,13.0,pop
soon,george duke,1983-01-01,20.0,jazz
must you throw dirt in my face,waylon jennings,1970-01-01,49.0,country
heart of gold,willie nelson,1986-01-01,30.0,country
hook,blues traveler,1994-01-01,107.0,pop
red rooster,carla thomas,1966-01-01,103.0,blues
indian reservation (the lament of the cherokee reservation indian),paul revere & the raiders,1971-01-01,55.0,pop
have you looked into your heart,jerry vale,1986-01-01,36.0,jazz
accidentally like a martyr,warren zevon,1978-01-01,63.0,country
heart trouble,steve wariner,1987-01-01,93.0,country
mexican divorce,burt bacharach,1971-01-01,56.0,pop
tone's rap,badbadnotgood,2015-01-01,72.0,jazz
kill a word,eric church,2015-01-01,104.0,country
in christ alone,passion,2013-01-01,30.0,rock
rolling in the deep,greta van fleet,2018-01-01,72.0,blues
dame un beso y dime adiós,yndio,2001-01-01,49.0,rock
that's me without you,lefty frizzell,1951-01-01,20.0,country
the way it is,tesla,1989-01-01,80.0,rock
ag ypodohi (welcome),agnostoi gnostoi,2012-01-01,156.0,hip hop
quinella,atlanta rhythm section,1981-01-01,88.0,country
here comes my baby,dottie west,1965-01-01,36.0,country
bass culture,linton kwesi johnson,1980-01-01,44.0,reggae
late to the party,kacey musgraves,2015-01-01,89.0,country
breakthrough,modest mouse,1996-01-01,66.0,pop
all you need is love,the beatles,1967-01-01,14.0,rock
it's a blue world,the four freshmen,1955-01-01,17.0,jazz
just in time,julian marley,2009-01-01,56.0,reggae
hey there lonely boy,ruby and the romantics,1966-01-01,85.0,blues
lonely heart,lefty frizzell,1959-01-01,26.0,country
power to the music,mötley crüe,1994-01-01,79.0,rock
love ain't worth making,deana carter,1996-01-01,46.0,country
take me as i am,george jones,1964-01-01,16.0,country
lay it down,cowboy junkies,1996-01-01,54.0,country
i like dreamin',kenny nolan,1976-01-01,91.0,pop
superman,the brothers four,1959-01-01,170.0,pop
something 'bout you,kevin welch,1992-01-01,46.0,country
see see rider (special bonus track/stereo version),the animals,1966-01-01,46.0,blues
choose me,loose ends,1984-01-01,70.0,jazz
